,dias,Curitiba - PR,Fortaleza - CE,Sarandi - RS,Brasília - DF,Bochum - GE
122,2023-05-03,2023-05-03 17:47:00-03:00,2023-05-03 17:30:00-03:00,2023-05-03 17:57:00-03:00,2023-05-03 17:52:00-03:00,2023-05-03 19:56:00-03:00
123,2023-05-04,2023-05-04 17:46:00-03:00,2023-05-04 17:29:00-03:00,2023-05-04 17:56:00-03:00,2023-05-04 17:52:00-03:00,2023-05-04 19:57:00-03:00
124,2023-05-05,2023-05-05 17:45:00-03:00,2023-05-05 17:29:00-03:00,2023-05-05 17:55:00-03:00,2023-05-05 17:52:00-03:00,2023-05-05 19:59:00-03:00
125,2023-05-06,2023-05-06 17:45:00-03:00,2023-05-06 17:29:00-03:00,2023-05-06 17:55:00-03:00,2023-05-06 17:51:00-03:00,2023-05-06 20:01:00-03:00
126,2023-05-07,2023-05-07 17:44:00-03:00,2023-05-07 17:29:00-03:00,2023-05-07 17:54:00-03:00,2023-05-07 17:51:00-03:00,2023-05-07 20:02:00-03:00
127,2023-05-08,2023-05-08 17:43:00-03:00,2023-05-08 17:29:00-03:00,2023-05-08 17:53:00-03:00,2023-05-08 17:50:00-03:00,2023-05-08 20:04:00-03:00
128,2023-05-09,2023-05-09 17:43:00-03:00,2023-05-09 17:29:00-03:00,2023-05-09 17:53:00-03:00,2023-05-09 17:50:00-03:00,2023-05-09 20:05:00-03:00
129,2023-05-10,2023-05-10 17:42:00-03:00,2023-05-10 17:29:00-03:00,2023-05-10 17:52:00-03:00,2023-05-10 17:50:00-03:00,2023-05-10 20:07:00-03:00
130,2023-05-11,2023-05-11 17:42:00-03:00,2023-05-11 17:29:00-03:00,2023-05-11 17:51:00-03:00,2023-05-11 17:49:00-03:00,2023-05-11 20:08:00-03:00
131,2023-05-12,2023-05-12 17:41:00-03:00,2023-05-12 17:28:00-03:00,2023-05-12 17:51:00-03:00,2023-05-12 17:49:00-03:00,2023-05-12 20:10:00-03:00
132,2023-05-13,2023-05-13 17:41:00-03:00,2023-05-13 17:28:00-03:00,2023-05-13 17:50:00-03:00,2023-05-13 17:49:00-03:00,2023-05-13 20:11:00-03:00
133,2023-05-14,2023-05-14 17:40:00-03:00,2023-05-14 17:28:00-03:00,2023-05-14 17:50:00-03:00,2023-05-14 17:48:00-03:00,2023-05-14 20:13:00-03:00
134,2023-05-15,2023-05-15 17:40:00-03:00,2023-05-15 17:28:00-03:00,2023-05-15 17:49:00-03:00,2023-05-15 17:48:00-03:00,2023-05-15 20:14:00-03:00
135,2023-05-16,2023-05-16 17:39:00-03:00,2023-05-16 17:28:00-03:00,2023-05-16 17:49:00-03:00,2023-05-16 17:48:00-03:00,2023-05-16 20:16:00-03:00
136,2023-05-17,2023-05-17 17:39:00-03:00,2023-05-17 17:28:00-03:00,2023-05-17 17:48:00-03:00,2023-05-17 17:48:00-03:00,2023-05-17 20:17:00-03:00
137,2023-05-18,2023-05-18 17:38:00-03:00,2023-05-18 17:28:00-03:00,2023-05-18 17:48:00-03:00,2023-05-18 17:47:00-03:00,2023-05-18 20:19:00-03:00
138,2023-05-19,2023-05-19 17:38:00-03:00,2023-05-19 17:28:00-03:00,2023-05-19 17:47:00-03:00,2023-05-19 17:47:00-03:00,2023-05-19 20:20:00-03:00
139,2023-05-20,2023-05-20 17:37:00-03:00,2023-05-20 17:28:00-03:00,2023-05-20 17:47:00-03:00,2023-05-20 17:47:00-03:00,2023-05-20 20:22:00-03:00
140,2023-05-21,2023-05-21 17:37:00-03:00,2023-05-21 17:28:00-03:00,2023-05-21 17:46:00-03:00,2023-05-21 17:47:00-03:00,2023-05-21 20:23:00-03:00
141,2023-05-22,2023-05-22 17:37:00-03:00,2023-05-22 17:28:00-03:00,2023-05-22 17:46:00-03:00,2023-05-22 17:47:00-03:00,2023-05-22 20:24:00-03:00
142,2023-05-23,2023-05-23 17:36:00-03:00,2023-05-23 17:28:00-03:00,2023-05-23 17:46:00-03:00,2023-05-23 17:46:00-03:00,2023-05-23 20:26:00-03:00
143,2023-05-24,2023-05-24 17:36:00-03:00,2023-05-24 17:28:00-03:00,2023-05-24 17:45:00-03:00,2023-05-24 17:46:00-03:00,2023-05-24 20:27:00-03:00
144,2023-05-25,2023-05-25 17:36:00-03:00,2023-05-25 17:28:00-03:00,2023-05-25 17:45:00-03:00,2023-05-25 17:46:00-03:00,2023-05-25 20:28:00-03:00
145,2023-05-26,2023-05-26 17:35:00-03:00,2023-05-26 17:28:00-03:00,2023-05-26 17:44:00-03:00,2023-05-26 17:46:00-03:00,2023-05-26 20:30:00-03:00
